S,READ_UNCOMMITTED MEAN,READ_UNCOMMITTED STD,READ_COMMITTED MEAN,READ_COMMITTED STD,REPEATABLE_READ MEAN,REPEATABLE_READ STD,SERIALIZABLE MEAN,SERIALIZABLE STD
100,13.98310643,0.141022385,18.66637074,0.504504802,14.43716884,0.038863212,15.44177173,0.119857433
200,15.66536144,0.241110416,16.48015945,0.217544586,23.38242904,0.473247099,22.20014517,0.486985516
300,18.39669531,1.408544301,18.18994326,0.138954078,15.79596052,0.218451933,21.00240789,0.560500848
400,17.8244749,0.237397434,15.58803272,0.215490309,21.36053685,0.330906913,21.38774315,0.569357848
500,18.45217339,0.254862615,18.8446906,0.079038204,18.26201776,0.458860775,19.7643936,0.428279073
600,19.08360108,0.200916361,20.64313152,0.473163287,21.84438447,0.201421063,22.35698804,0.613288714
700,20.37658705,0.545771477,19.2245291,0.07034706,19.62597938,0.425665198,22.01826573,0.500979658
800,21.05663621,0.4554198,21.03042254,0.042913756,21.23114769,0.259263708,19.36237741,0.317632239
900,21.73668536,0.365068124,22.83631599,0.092862218,22.83631599,0.092862218,16.70648909,0.134284821
1000,20.04981105,0.948319146,19.39669531,0.408544301,27.82407802,0.314334888,23.40113982,0.171081996